"","Liver_LTDR_rep1","Liver_LTDR_rep2","Liver_LTDR_rep3","Liver_LTAL_rep1","Liver_LTAL_rep2","Liver_LTAL_rep3","Liver_Young_rep1","Liver_Young_rep2","Liver_Young_rep3","Liver_STDR_rep1","Liver_STDR_rep2","Liver_STDR_rep3"
"Vcl",388.565502074251,395.931354219035,318.816487695486,529.886928052839,375.841264043635,562.769634066537,457.78173707532,537.409223087024,539.294526929557,301.23674031476,402.788469551769,322.738603427674
"Vcp",571.666512044491,601.716881359906,555.714850080326,639.901547400953,660.261680076655,627.847620384804,704.508257706824,762.401122704797,790.345427396765,424.610149317392,467.09923359785,559.560445533305
"Vcpip1",929.482226184808,988.593672384742,1065.67363016732,817.539831852952,879.11764955661,806.347240000622,1215.79695106368,1184.10022598839,1098.73511377315,569.573904895484,807.833457140243,761.134385558098
"Vdac1",2735.33340848672,2628.2927526432,2852.3743632941,2422.34024252727,2280.90398571936,2417.1823489642,2681.29303144116,2581.62133961422,2245.51083195669,2443.8216099938,2402.06345007203,2549.96541616063
"Vdac2",1192.2531412566,1219.89660489108,1135.04573628624,1033.53183681163,878.194206647412,925.966776757055,722.343909800668,803.542498634904,832.187244141299,1020.91495949678,1027.84396571894,905.430484701529
"Vdac3",282.338961938844,278.222032694457,315.864483179787,343.164867691363,321.358132400946,336.546157817323,145.657825433056,213.42088763743,248.726355092511,253.943600197084,235.806134835629,258.851780906155
"Vdr",1.39771763336061,0,1.47600225784947,1.00930843438636,0,1.23958069177651,0,1.28566799781585,2.32454537469637,1.0281117416886,4.51303607340918,1.10149694002619
"Vegfa",1227.8949409073,1172.1543625944,1335.78204335377,820.567757156111,754.452856814864,629.706991422468,787.741300811428,815.113510615246,1163.04753580642,920.160008811297,830.398637507289,1129.03436352685
"Vegfb",109.021975402128,136.641590021538,121.032185143657,19.1768602533409,22.1626298207549,39.6665821368484,104.041303880755,75.8544118711349,55.7890889927128,63.7429279846932,54.1564328809101,89.2212521421214
"Vegfc",34.244082017335,24.6942632569045,28.04404289914,42.3909542442272,80.3395331002364,70.6560994312612,35.6713041876873,55.2837239060814,62.7627251168019,34.9557992174124,53.0281738625578,45.1613745410738
"Veph1",1.39771763336061,0.823142108563482,2.95200451569894,1.00930843438636,0,5.57811311299431,5.94521736461455,6.42833998907923,10.0730299570176,1.0281117416886,2.25651803670459,1.10149694002619
"Vezf1",247.396021104829,224.717795637831,295.200451569894,174.61035914884,197.616782568398,226.223476249214,377.521302653024,285.418295515118,233.229385927869,235.437588846689,270.782164404551,266.562259486338
"Vezt",375.287184557325,295.50801697429,322.50649334011,187.731368795863,171.76038111085,233.041170053984,252.671737996118,347.130359410278,278.170596505332,273.477723289167,277.551718514664,292.998186046967
"Vgf",0,0,0,0,0,0,2.97260868230727,0,0.774848458232122,3.0843352250658,0,0
"Vgll1",0,0,0,0,0,0.619790345888256,0,0,0,0,0,0
"Vgll2",0,0,0,0,0,0,2.97260868230727,0,0,0,0,0
"Vgll3",7.68744698348338,4.93885265138089,7.38001128924736,10.0930843438636,6.46410036438684,13.6353876095416,5.94521736461455,10.2853439825268,7.74848458232122,10.281117416886,13.5391082202275,5.50748470013095
"Vgll4",368.997455207202,361.359385659369,416.970637842476,405.741990623317,355.525520041276,422.077225549903,315.096520324571,545.123231073919,495.128164810326,389.654350099979,386.992843294837,362.392493268617
"Vhl",260.674338621754,189.322684969601,274.536419960002,214.982696524295,265.951557849058,231.801589362208,154.575651479978,137.566475766296,211.533629097369,304.321075539826,223.395285633754,200.472443084767
"Vil1",16.7726116003274,13.1702737370157,11.070016933871,0,1.84688581839624,2.47916138355303,2.97260868230727,1.28566799781585,13.9472722481782,3.0843352250658,6.76955411011376,4.40598776010476
"Vill",19.5680468670486,18.9322684969601,14.02202144957,10.0930843438636,10.1578720011793,57.6405021676078,5.94521736461455,17.9993519694218,13.1724237899461,10.281117416886,15.7956262569321,19.8269449204714
"Vim",591.23455891154,451.081875492788,445.014680741616,487.495973808612,634.405278619108,1267.47125734148,425.08304156994,500.124851150364,411.444531321257,922.216232294674,2074.86833474987,483.557156671498
"Vip",0,0,0,0,0,0,0,0,0.774848458232122,1.0281117416886,0,0
"Vipar",174.714704170077,214.016948226505,149.814229171721,191.768602533409,202.233997114388,223.124524519772,225.918259855353,206.992547648351,185.963629975709,210.762907046163,240.319170909039,210.385915545002
