"","Skin_LTDR_rep1","Skin_LTDR_rep3","Skin_LTAL_rep1","Skin_LTAL_rep2","Skin_Young_rep1","Skin_Young_rep2","Skin_Young_rep3","Skin_STDR_rep1","Skin_STDR_rep2","Skin_STDR_rep3"
"Bcl2l12",26.2768145846253,18.7214441957683,22.850431680604,26.9150224910508,5.96433400204928,36.1454145625762,13.3391780579761,25.7646839773096,37.4623766473502,32.4970191088543
"Bcl2l13",270.797172524888,243.378774544988,325.445542117694,296.065247401559,295.234533101439,457.841917792632,390.1709581958,592.58773147812,240.667389370856,239.6655159278
"Bcl2l14",10.9486727435939,14.9771553566147,32.5445542117694,18.723493906818,8.94650100307392,9.37103340511235,0,11.3667723429307,230.450377557942,10.155318471517
"Bcl2l15",1.45982303247918,1.87214441957683,9.00168520751068,7.02131021505674,2.98216700102464,9.37103340511235,0,0.757784822862046,5.10850590645685,4.73914862004125
"Bcl2l2",130.654161406887,116.072954013764,198.72951188889,129.89423897855,107.358012036887,143.242939192432,103.378629949315,231.124370972924,126.009812359269,107.64637579808
"Bcl3",13.8683188085522,14.9771553566147,18.695807738676,20.4788214605822,29.8216700102464,9.37103340511235,26.6783561159522,7.57784822862046,10.2170118129137,18.2795732487305
"Bcl6",440.866555808713,359.451728558752,394.68927448316,386.757171012709,357.860040122957,712.198538788539,213.426848927617,91.6919635663076,203.77262449089,257.945089176531
"Bcl6b",15.3281418410314,12.1689387272494,42.9311140665894,23.9894765681105,29.8216700102464,16.0646286944783,13.3391780579761,18.1868357486891,9.6494000455296,6.09319108291018
"Bcl7a",71.5313285914799,64.5889824754008,93.4790386933801,86.0110501344451,53.6790060184435,69.6133910094061,73.3654793188684,80.3251912233769,53.9231179014889,42.6523375803713
"Bcl7b",79.5603552701154,92.6711487690532,66.4739830708481,61.4364643817465,89.4650100307392,111.113681803475,103.378629949315,162.165952092478,118.630859383276,117.124673038162
"Bcl7c",48.9040715880526,55.2282603775166,41.54623941928,60.8513551971584,74.554175025616,53.5487623149277,50.0219177174103,43.9515197259987,76.6275885968527,54.1616985147572
