"","UpstreamRegulator","X","Group","Tissue","pval","padj","ES","NES","nMoreExtreme","size"
"438","IFNL1",6,"Young_vs_LTAL","Brain",0.000369822485207101,0.000369822485207101,0.813142993187746,2.69233461745654,0,58
"439","IFNL1",7,"LTAL_vs_LTDR","Heart",0.000360490266762797,0.000360490266762797,-0.495987437926882,-1.81135491241109,0,65
"440","IFNL1",8,"LTAL_vs_STDR","Heart",0.000133976420150054,0.000133976420150054,-0.757644135093825,-2.3644593224934,0,65
"441","IFNL1",9,"Young_vs_LTAL","Heart",0.0871133457208438,0.0871133457208438,0.60336446627631,1.38957040419417,796,65
"442","IFNL1",10,"LTAL_vs_LTDR","Kidney",0.000150353330326267,0.000150353330326267,-0.717293008178146,-2.20679034503926,0,65
"443","IFNL1",11,"LTAL_vs_STDR","Kidney",0.000277161862527716,0.000277161862527716,-0.696570745135171,-2.43986398781967,0,65
"444","IFNL1",12,"Young_vs_LTAL","Kidney",0.000160642570281124,0.000160642570281124,0.777210633196169,2.31148956481744,0,65
"445","IFNL1",13,"LTAL_vs_LTDR","Liver",0.000145158949049209,0.000145158949049209,-0.709084678890213,-2.31559255897514,0,60
"446","IFNL1",14,"LTAL_vs_STDR","Liver",0.000234852043212776,0.000234852043212776,-0.843594799400891,-2.83712213583677,0,60
"447","IFNL1",15,"Young_vs_LTAL","Liver",0.00850997988550209,0.00850997988550209,0.504747742797159,1.60280473948026,54,60
"448","IFNL1",16,"LTAL_vs_LTDR","Lung",0.000221877080097626,0.000221877080097626,-0.674902725427085,-2.40115670209938,0,66
"449","IFNL1",17,"LTAL_vs_STDR","Lung",0.0156590683845391,0.0156590683845391,-0.482454457568935,-1.62683503277999,78,64
"450","IFNL1",18,"Young_vs_LTAL","Lung",0.000257864878803507,0.000257864878803507,0.572197100257201,2.07682199092392,0,66
"451","IFNL1",19,"LTAL_vs_LTDR","Muscle",0.00324196875921014,0.00324196875921014,-0.608027045704164,-1.82900611165759,21,62
"452","IFNL1",20,"LTAL_vs_STDR","Muscle",0.00320219579139982,0.00320219579139982,-0.619469215487977,-1.86672663684576,13,62
"453","IFNL1",21,"Young_vs_LTAL","Muscle",0.00046339202965709,0.00046339202965709,0.704915071018186,2.43673237610685,0,62
"454","IFNL1",22,"LTAL_vs_LTDR","Skin",0.000171526586620926,0.000171526586620926,0.703272542015107,2.14050670188593,0,62
"455","IFNL1",23,"LTAL_vs_STDR","Skin",0.322320875490399,0.322320875490399,0.497808327205037,1.12236989718738,3121,63
"456","IFNL1",24,"Young_vs_LTAL","Skin",0.000153186274509804,0.000153186274509804,-0.619812156049112,-2.0569392486321,0,61
"457","IL13",1,"LTAL_vs_LTDR","Blood",0.0455742887249737,0.0455742887249737,-0.270714523956622,-1.24694647733779,172,211
"458","IL13",2,"LTAL_vs_STDR","Blood",0.0417789757412399,0.0417789757412399,0.302944613257634,1.27834228680087,278,230
"459","IL13",3,"Young_vs_LTAL","Blood",0.341457124435848,0.341457124435848,-0.261600467444448,-1.05413320359474,2647,238
